|,,,,,,,,,,,,,,,,,,,,,,,,,,MNAVA,,,LGONZALEZ,MORTEGA,JPEREZ,ARUIZ,SITURBE,IRUIZ,MVIZCAYA,NESTRADA,,TIPO DE MEMBRESÍAS,,,,,,,,,,,,
,CONCENTRADO DE VENTAS GLOBAL,,,,,,,,,,,,,,,,,TIPO DE MEMBRESÍAS,,,,,,,,"$820,550.00",,,"$542,656.00","$1,178,636.00","$685,807.40","$600,950.00","$788,059.00","$712,450.00","$14,240.00","$120,806.00",,BASICA,,EMPRENDEDOR,,,PREMIER,SIEM,,,,,,
120,,1,29/1/2026,30/1/2025,,AF-6448,,15713,UNDER ARMOUR MEXICO,,,$640.00,TD,1,,LGONZALEZ,SIEM, ,$640.00,"PALMAS HILL L1 YL2 MZ 2, HUIXQUILUCAN, MEXICO. 52763",ENE,UAM130508KA6,abogadojr13@muczamasociados.com,,5544910665,VICTOR HUGO MARTINEZ,,,COMERCIO,TIENDA DEPORTIVA,,,,,,,,,,,,,afiliado,,,,,,,
121,,1,27/1/2026,28/1/2025,,AF-6411,,15669,JULIO ERICK HERNANDEZ PEÑA,,,$640.00,Transf,,1,JPACHECO,SIEM, ,$640.00,,ENE,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
1,,2,7/1/2026,8/1/2025,,AF-6134,,12780,PRODUCTOS METALICOS STEELE SA DE CV,,,"$4,500.00",Cheque,1,,MNAVA,MEMBRESIA,EMPRENDEDOR,"$4,500.00","BLVD. MIGUEL DE CERVANTES SAAVEDRA #182, COL. GRANADA. 11520",FEB,PMS811203QE6,pmsqro@pmsteele.com.mx,,4422236111,LIC. FERNANDA OROPEZA,,,COMERCIO,MUEBLES DE OFICONA,,,"BLVD. BERNARDO QUINTANA #167,QRO 76060",,,,,,,,,,afiliado,,,,,,,
2,,2,4/2/2026,5/2/2025,,AF-6468,,14780,JOSE RICARDO THOMAS JIMENEZ,,,"$3,500.00",Transf,1,,MNAVA,MEMBRESIA,EMPRENDEDOR,"$3,500.00","MITLA #118, COL. VALLE ALAMEDA . 76040",FEB,TOJR760106BX9,casathomas2014@hotmail.com,,4422120890,RICARDO THOMAS,,,COMERCIO,MAQUINAS DE COSER,,,,,,,,,,,,,afiliado,,,,,,,
3,,2,17/1/2026,18/1/2025,,AF-6477,,14769,FARMACOS ESPECIALIZADOS SA DE CV,,,$690.00,Transf,1,,MNAVA,SIEM, ,$690.00,"CALLE QUERETARO #137 PISO 1, COL. ROMA, DELEG. CUAUTHEMOC, CDMX. 06700",FEB,FES840823HH0,f058.adm@grupofarmacos.com,,4422169238,NOELI DE LA LUZ HERA CANO,,,COMERCIO,FARMACIA,,,"AV. ZARAGOZA PTE. #340, COL. NIÑOS HEROES. 76010",,,,,,,,,,afiliado,,,,,,,
4,,2,3/2/2026,4/2/2025,,AF-6463,,15447,NOVA-CHEM,,,"$3,200.00",Transf,1,,SITURBE,MEMBRESIA,EMPRENDEDOR,"$3,200.00","AGUSTIN GONZALEZ COSSIO #834, BENITO JUAREZ CDMX",FEB,NOV160219CN7,juan.valerio@novachem.mx,,5651003903,JUAN ANTONIO VALERIO,,,COMERCIO,COMERCIO AL POR MAYOR,,,,,,,,,,,,,afiliado,,,,,,,
5,,2,3/2/2026,4/2/2025,,AF-6464,,15443,MANHATHAN SYSTEM CONTROL,,,"$2,500.00",Transf,,1,SITURBE,MEMBRESIA,BASICA,"$2,500.00","CALLE LLUVIA #10 FRACC INDUSTRIAL LA NORIA, EL MARQUES QRO, 76246",FEB,MSC05531MA5,mjasso.msc@gmail.com,,4423473412,MARTHA JASSO,,,SERVICIOS,SOFTWARE PARA EMPRESAS,,,"CALLE LLUVIA #10 FRACC INDUSTRIAL LA NORIA, EL MARQUES QRO, 76246",,,,,,,,,,afiliado,,,,,,,
6,,1,28/1/2026,29/1/2025,,,,115499,SERVICIO GALVAN,,,$500.00,Efe,,1,ARUIZ,SIEM, ,$500.00,,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
7,,1,29/1/2026,30/1/2025,,PG-478,,15624,MACETONIA SA DE CV,,,$990.00,Efe,1,,JPEREZ,MEMBRESIA,MEMBRESIA SIEM,$990.00,,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
8,,1,29/1/2026,30/1/2025,,AF-6455,,15624,OWA SISTEMAS DE ILUMINACION AUTOMOTRIZ,,,"$1,850.00",Transf,1,,JPEREZ,MEMBRESIA,BASICA,"$1,850.00",,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
9,,1,27/1/2026,28/1/2025,,,,15610,NANCY SELENE PAZ GALVAN,,,$100.00,Transf,,1,JPEREZ,SIEM, ,$100.00,,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
10,,1,27/1/2026,28/1/2025,,,,14765,OPERADORA DE ALIMENTOS Y BEBIDAS ,,,$640.00,Transf,,1,JPEREZ,SIEM, ,$640.00,,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
11,,1,15/1/2026,16/1/2025,,AF-6349,,14755,NW SOLUTIONS,,,$300.00,Efe,1,,JPEREZ,SIEM, ,$300.00,,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
12,,1,27/1/2026,28/1/2025,,AF-6437,,15611,RED EXPRESS,,,$640.00,Efe,1,,JPEREZ,SIEM, ,$640.00,,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
13,,2,5/2/2026,6/2/2025,,PG-4880,,15654,JESUS EMMANUEL SANTANA RICO,,,$300.00,Efe,,1,LGONZALEZ,SIEM, ,$300.00,"HIDALGO 270, TLACOTE EL BAJO, QUERETARO, QRO. 76229",FEB,,,,,JESUS SANTANA ,,,COMERCIO,POLLERIA,,,,,,,,,,,,,afiliado,,,,,,,
14,,1,27/1/2026,28/1/2025,,AF-6472,,15646,FAZA TECNOLOGIA SA DE CV,,,"$2,300.00",Transf,1,,LGONZALEZ,MEMBRESIA,BASICA,"$2,300.00","FELIPE ANGELES 225, LOS PIRULES, QUERETARO, QRO. 76158",FEB,FTE010207TR6,fazatec-qro@hotmail.com,,4421408274,VIRGINIA,,,COMERCIO,COMERCIALIZADORA DE HERRAMIENTA,,,,,,,,,,,,,afiliado,,,,,,,
15,,1,27/1/2026,28/1/2025,,AF-6523,,15645,DELKAS Y MAS SA DE CV ,,,"$3,990.00",Transf,1,,LGONZALEZ,MEMBRESIA,EMPRENDEDOR,"$3,990.00","ARISTA 22, SAN JAVIER, QUERETARO,QRO. 76020",FEB,DMA1210254T9,yolamm16@hotmail.com,,4422133079,LIC. YOLANDA MENDOZA,,,COMERCIO,VENTA DE UNIFROMES,,,,,,,,,,,,,afiliado,,,,,,,
16,,2,6/2/2026,7/2/2025,,AF-6525,,15663,MARIA ELENA LABASTIDA RAYON ,,,"$1,850.00",Transf,,1,LGONZALEZ,MEMBRESIA,BASICA,"$1,850.00","SONTERRA 4034 INT. 29, SONTERRA, QUERETARO, QRO. 76235",FEB,LARE821116I33,hola@mmqmms.com,,4422191972,NAHUEL,,,SERVICIOS,MANEJO DE REDES SOCIALES,,,,,,,,,,,,,afiliado,,,,,,,
17,,2,6/2/2026,7/2/2025,,AF-6518,,15662,J. JESUS ESQUIVIAS RODRIGUEZ,,,"$1,990.00",Efe,1,,LGONZALEZ,MEMBRESIA,BASICA,"$1,990.00","AV, DE LA FUENTE 2090 FRACC. LOS FUNDADORES, QUERETARO, QRO. 76235",FEB,EURJ51194AHA,tallarinchino75@gmail.com,,4424965690,JESUS ESQUIVIAS,,,COMERCIO,CERRAJERIA,,,,,,,,,,,,,afiliado,,,,,,,
18,,2,5/2/2026,6/2/2025,,AF-6519,,15660,MESS SERVICIOS METROLOGICOS S DE RL DE CV,,,"$3,700.00",Transf,1,,LGONZALEZ,MEMBRESIA,EMPRENDEDOR,"$3,700.00","ACCESO III 42 NAVE 12, PARQUE INDUSTRIAL BENITO JUAREZ, QUERETARO, QRO. 76120",FEB,MSM0912029D5,silvia@mess.com.mx,,4421964938,SILVIA AVEDAÑO,,,SERVICIOS,SERVICIO DE METROLOGIA,,,,,,,,,,,,,afiliado,,,,,,,
19,,2,5/2/2026,6/2/2025,,AF-6520,,15659,MESS SERVICIOS METROLOGICOS S DE RL DE CV,,,"$3,700.00",Transf,1,,LGONZALEZ,MEMBRESIA,EMPRENDEDOR,"$3,700.00","ACCESO III 42 NAVE 12, PARQUE INDUSTRIAL BENITO JUAREZ, QUERETARO, QRO. 76120",FEB,MSM0912029D5,silvia@mess.com.mx,,4421964938,SILVIA AVEDAÑO,,,SERVICIOS,SERVICIO DE METROLOGIA,,,,,,,,,,,,,afiliado,,,,,,,
20,,2,5/2/2026,6/2/2025,,PG-479,,15714,MARIA DEL ROSARIO SANDOVAL ORTIZ,,,$300.00,Efe,,1,MORTEGA,SIEM,,$300.00,"AV HIDALGO #369-B, TLACOTE EL BAJO",FEB,-,-,,4423850596,MARIA DEL ROSARIO,,,COMERCIO,FARMACIA,,,"AV HIDALGO #369-B, TLACOTE EL BAJO",,,,,,,,,,afiliado,,,,,,,
21,,2,5/2/2026,6/2/2025,,PG-479,,15715,JORGE LOPEZ COMPUSANO,,,$300.00,Efe,,1,MORTEGA,SIEM,,$300.00,"AV. HIDALGO S/N, TLACOTE EL BAJO. 76222",FEB,-,-,,4424796161,JORGE LOPEZ,,,COMERCIO,POLLERIA,,,"AV. HIDALGO S/N, TLACOTE EL BAJO. 76222",,,,,,,,,,afiliado,,,,,,,
22,,2,5/2/2026,6/2/2025,,PG-479,,15428,LUIS ORLANDO FIGUEROA OLIVIA,,,$300.00,Efe,,1,MORTEGA,SIEM,,$300.00,"HILDALGO #365-B, COL TLACOTE. 76229",FEB,-,orlandofg011187@gmail.com,,4428382675,LUIS ORLANDO,,,COMERCIO,FARMACIA,,,"HILDALGO #365-B, COL TLACOTE. 76229",,,,,,,,,,afiliado,,,,,,,
23,,2,4/2/2026,5/2/2025,,AF-6500,,15426,CORRAL Y ESQUIVEL ASOCIADOS,,,$640.00,Déposito,1,,MORTEGA,SIEM,,$640.00,"AV PASEO DEL CONQUISTADOR #611, COL. LOMAS DE CORTES, CUERNAVACA, MORALES. 62240",FEB,-,karla.anaya@cleanfindex.com,,22998227660,LIC. KARLA ANAYA,,,SERVICIOS,PROVEEDOR DE CONTRATOS,,,,,,,,,,,,,afiliado,,,,,,,
24,,2,4/2/2026,5/2/2025,,AF-6499,,15427,CORRAL Y ESQUIVEL ASOCIADOS,,,$640.00,Déposito,1,,MORTEGA,SIEM,,$640.00,"AV PASEO DEL CONQUISTADOR #611, COL. LOMAS DE CORTES, CUERNAVACA, MORALES. 62240",FEB,-,karla.anaya@cleanfindex.com,,22998227660,LIC. KARLA ANAYA,,,SERVICIOS,PROVEEDOR DE CONTRATOS,,,,,,,,,,,,,afiliado,,,,,,,
25,,1,29/1/2026,30/1/2025,,AF-6438,,15418,VAPORMATIC DE MEXICO SA DE CV,,,"$11,600.00",Transf,1,,MORTEGA,MEMBRESIA,PREMIER,"$11,600.00","CALE ACCESO V #110 INT. A, DESARROLLO LA MONTAÑA, 76150",FEB,-,cfdi@vapormatic.com.mx,,,LIC. ELI OLVERA,,,COMERCIO,PROVEEDOR DE PARTES PARA TRACTORES,,,"CALE ACCESO V #110 INT. A, DESARROLLO LA MONTAÑA, 76150",,,,,,,,,,afiliado,,,,,,,
1,,2,9/2/2026,10/2/2025,,PG-485,,15147,HORTENCIA RICO OLVERA,,,$340.00,Efe,1,,MORTEGA,SIEM, ,$340.00,,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
2,,1,8/1/2026,9/1/2025,,AF-6373,,14558,INSTITUTO THOMAS JEFFERSON CAMPUS,,,"$4,150.00",Transf,1,,MORTEGA,MEMBRESIA,EMPRENDEDOR,"$4,150.00",,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
3,,2,3/2/2026,4/2/2025,,AF-6481,,15421,SAUMOTORS SA DE CV,,,"$12,325.00",Transf,1,,MORTEGA,MEMBRESIA,PREMIER,"$12,325.00",,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
4,,2,3/2/2026,4/2/2025,,AF-6482,,15422,SAUMOTORS SA DE CV,,,"$12,325.00",Transf,1,,MORTEGA,MEMBRESIA,PREMIER,"$12,325.00",,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
5,,2,6/2/2026,7/2/2025,,AF-6529,,15717,CLUTCH Y BALATAS DE QUERETARO,,,"$2,500.00",Transf,1,,MORTEGA,MEMBRESIA,BASICA,"$2,500.00",,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
6,,2,8/2/2026,9/2/2025,,AF-6530,,15719,CLUTCH Y BALATAS DE QUERETARO,,,"$2,500.00",Transf,1,,MORTEGA,MEMBRESIA,BASICA,"$2,500.00",,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
7,,2,11/2/2026,12/2/2025,,AF-6569,,15722,FABRICA DE MAQUINAS Y ACCESORIOS,,,"$2,900.00",Transf,1,,MORTEGA,MEMBRESIA,EMPRENDEDOR,"$2,900.00",,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
8,,2,12/2/2026,13/2/2025,,,,15725,PLASTICOLOR SA DE CV,,,"$3,150.00",Transf,1,,MORTEGA,MEMBRESIA,EMPRENDEDOR,"$3,150.00",,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
9,,2,12/2/2026,13/2/2025,,,,15726,RECUBRIMIENTOS Y RESINAS DE QUERETARO,,,"$3,150.00",Transf,1,,MORTEGA,MEMBRESIA,EMPRENDEDOR,"$3,150.00",,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
10,,1,12/1/2026,13/1/2025,,AF-6568,,14579,PHILADELPHIA DEL CENTRO SA DE CV ,,,"$1,999.00",Transf,1,,MORTEGA,MEMBRESIA,BASICA,"$1,999.00",,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
11,,2,31/1/2026,1/2/2025,,AF-6543,,15510,BOMBAS Y AFOROS DE QUERETARO,,,"$3,300.00",Transf,1,,ARUIZ,MEMBRESIA,EMPRENDEDOR,"$3,300.00",,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
12,,2,10/2/2026,11/2/2025,,AF-6559,,15511,AAAA LOGISTICS S DE RL DE CV,,,,Efe,1,,ARUIZ,,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
13,,2,31/12/2025,1/1/2025,,AF-6503,,12309,EUROGRUAS BAJIO,,,"$2,300.00",Transf,1,,ARUIZ,MEMBRESIA,BASICA,"$2,300.00",,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
14,,2,4/2/2026,5/2/2025,,,,15505,INSTITUTO ALEGRIA DE QUERETARO AC ,,,"$1,600.00",Transf,1,,ARUIZ,MEMBRESIA,MEMBRESIA SIEM,"$1,600.00",,,,,,,,,,,,,,,,,,,,,,,,afiliado,,,,,,,
15,,2,5/2/2026,6/2/2025,,AF-6498,,15653,CAJA LABORAL MAGISTERIAL DE QUERETARO A.C.,,,"$7,500.00",Transf,1,,LGONZALEZ,MEMBRESIA,VISIONARIO,"$7,500.00","RADIODIFUSORA 17, CENTRO, QUERETARO, QRO. 76000",FEB,CLM200801CS3,auxiliar.ggeneral@cmqueretano.mx,,4422322483,LIC. FABIOLA BALTAZAR,,,SERVICIOS,CAJA LABORAL MAGISTERIAL,,,,,,,,,,,,,afiliado,,,,,,,
16,,2,9/2/2026,10/2/2025,,AF-6588,,15665,BARAJAS BOUQUET FRANCO ARMANDO ,,,"$2,500.00",Efe,1,,LGONZALEZ,MEMBRESIA,BASICA,"$2,500.00","EZEQUIEL MONTES SUR 51, CENTRO, QUERETARO, QRO. 76000.",FEB,BABE650204CR0,director@templacris.com,,4422157897,LIC. FRANCISCO BARAJAS,,,COMERCIO,VENTA DE CRISTALES,,,,,,,,,,,,,afiliado,,,,,,,
17,,2,9/2/2026,10/2/2025,,AF-6589,,15666,TEMPLADORA DE CRISTALES DE QUERETARO SA DE CV,,,"$2,500.00",Efe,1,,LGONZALEZ,MEMBRESIA,BASICA,"$2,500.00","BELIZARIO DOMINGUEZ 92, CASA BLANCA , QUERETARO, QRO. 76030",FEB,TCQ090402RK3,director@templacris.com,,4422157897,LIC. FRANCISCO BARAJAS,,,COMERCIO,VENTA DE CRISTALES,,,,,,,,,,,,,afiliado,,,,,,,
18,,2,9/2/2026,10/2/2025,,AF-6587,,15164,JUAN ARTURO ADAME ORTIZ,,,"$2,200.00",Efe,1,,LGONZALEZ,MEMBRESIA,BASICA,"$2,200.00","MORELOS 12 SANTA MARIA MAGDALENA, QUERETARO, QRO. 76200",FEB,AAOJ8702114H3,serviciodonchucho1@hotmail.com,,4423248274,JUAN ARTURO ADAME/GLORIA,,,SERVICIOS,TALLER MECANICO,,,,,,,,,,,,,afiliado,,,,,,,
19,,2,11/2/2026,12/2/2025,,AF-6580,,13034,BIMBO SA DE CV ,,,$840.00,Efe,1,,LGONZALEZ,SIEM, ,$840.00,"MIMOSAS 117 SANTA MARIA, INSURGENTES DEL CUAUTHEMOC, CDMX. 06430",FEB,BIM011108DJ5,yareli.munoz@grupobimbo.com,,7714340950,YARELI MUÑOZ CHAVEZ,,,COMERCIO,VENTA PAN DE CAJA,,,"ACCESO III, ZONA IND. BENITO JUAREZ, JURICA. ",,,,,,,,,,afiliado,,,,,,,
20,,2,6/2/2026,7/2/2025,,AF-6522,,15661,TECNOSUIZA SA DE CV,,,"$3,500.00",Transf,1,,LGONZALEZ,MEMBRESIA,EMPRENDEDOR,"$3,500.00","CALLE 3 #8 FRACC. IND BENITO JUAREZ, QUERETARO, QRO. 76120",FEB,TEC900905MZ0,cxpagar@tecnosuiza.com,,4422648290,JIMENA FABREGAS,,,SERVICIOS,POLIPASTOS Y GRUAS VIAJERAS,,,,,,,,,,,,,afiliado,,,,,,,
21,,1,16/1/2026,17/1/2025,,AF-6524,,14684,ALARMAS PROTEKTOR SA DE CV,,,"$1,990.00",Transf,1,,LGONZALEZ,MEMBRESIA,BASICA,"$1,990.00","CALZ. DE LOS ARCOS 157 CALESA 2DA SECCION, QUERETARO, QRO. 76020",FEB,APR020320LY9,facturacion@alarmasprotektor.com,,4422186753,LIC. DULCE MILLAN,,,COMERCIO,VENTA E INSTALACION DE ALARMAS,,,,,,,,,,,,,afiliado,,,,,,,
22,,2,5/2/2026,6/2/2025,,AF-6521,,15657,AUTOMOTRIZ EGARAMA SA DE CV,,,"$4,500.00",Transf,1,,LGONZALEZ,MEMBRESIA,EMPRENDEDOR,"$4,500.00","GUADALAJARA 05, COL. CONSTITUCION DE 1917, DEL. TLANEPANTLA DE BAZ, MEXICO. 54190",FEB,AEG8908113C6,gabriel_delarosa@egarama.com.mx,,4425381650,LIC. GABRIEL DE LA ROSA,,,COMERCIO,COMERCIALIZADORA DE AUTOPARTES,,,,,,,,,,,,,afiliado,,,,,,,
23,,2,22/1/2026,23/1/2025,,AF-6400,,15463,COLEGIO ANGLO MEXICANO DE QUERETARO,,,"$3,650.00",Cheque,1,,IRUIZ,MEMBRESIA,EMPRENDEDOR,"$3,650.00","BLVD BERNARDO QUINTANA #148, CARRETAS, 76050",ENE,CAM9204061P0,recepcion@camq.edu.mx,,4422139096,LIC. GUADALUPE RUIZ,,,SERVICIOS,SERVICIOS EDUCATIVOS,,,"BLVD BERNARDO QUINTANA #148, CARRETAS, 76050",,,,,,,,,,afiliado,,,,,,,
24,,1,10/1/2026,11/1/2025,,AF-6581,,15200,CONCOURS TECHNOLOGIES MEXICANA,,,$640.00,Transf,,1,IRUIZ,SIEM, ,$640.00,"CALLE CIRCUITO ESTEBAN DE ANTUÑANO 13 PARQUE INDUSTRIAL, CD TEXTIL, 74160",ENE,CMM091029LXA,joyce.martinez@sybridge.com,,,JOYCE MARTINEZ,,,SERVICIOS,SERVICIOS AUTOMOTRIZ,,,"PARQUE INDUSTRIAL INNOVACION INT 748,76246",,,,,,,,,,afiliado,,,,,,,
25,,1,28/1/2026,29/1/2025,,AF-6446,,15471,OPEN IT LATINO AMERICA SA DE CV ,,,"$1,850.00",Transf,,1,IRUIZ,MEMBRESIA,BASICA,"$1,850.00","PASEO DE LA REFORMA 195 INT 601-F, COL CUATHEMOC DEL CUATEMOC, 06500",ENE,OIL211216ETA,nmorales@openit.com,,5525803645,NOEMI MORALES,,,SERVICIOS,SERVICIOS DE SOFTWARE,,,"IGNACIO PEREZ SUR 28 INT 9, EL CARRIZAL, 76030",,,,,,,,,,afiliado,,,,,,,
26,,1,22/1/2026,23/1/2025,,AF-6401,,15461,INSTITUTTO TECNOLOGICO ANGLO MEXICANO ,,,"$3,650.00",Cheque,1,,IRUIZ,MEMBRESIA,EMPRENDEDOR,"$3,650.00","BLVD. BERNARDO QUINTANA #148, CARRETAS, 76050",ENE,ITA051111DK8,recepcion@camq.edu.mx,,4422139096,LIC. GUADALUPE RUIZ,,,SERVICIOS,SERVICIOS EDUCATIVOS,,,"BLVD. BERNARDO QUINTANA #148, CARRETAS, 76050",,,,,,,,,,afiliado,,,,,,,
27,,2,4/2/2026,5/2/2025,,,,15508,INSTITUTO ALEGRIA DE QUERETARO AC ,,,"$1,600.00",Transf,1,,IRUIZ,MEMBRESIA,MEMBRESIA SIEM,"$1,600.00","SEBASTIAN DE GALLEGOS #8, EL PUEBLITO, 76900",FEB,IAQ880913LR5,polivares@wellingtonschool.edu.mx,,4422255785,PATRICIA OLIVARES,,,SERVICIOS,SERVICIOS EDUCATIVOS,,,,,,,,,,,,,afiliado,,,,,,,
28,,2,6/2/2026,7/2/2025,,AF-6517,,15480,BEGHELLI DE MEXICO SA DE CV ,,,"$3,500.00",Transf,1,,IRUIZ,MEMBRESIA,EMPRENDEDOR,"$3,500.00","AV DEL MARQUES #70 INT 4, PARQUE IND. B. QUINTANA, 76246",FEB,BME9809145R1,edna.ojeda@beghelli.com.mx,,4422216215,LIC EDNA OJEDA,,,COMERCIO,COMERCIO AL POR MAYOR DE EQUIPO Y MATERIAL ELECTRICO,,,"AV DEL MARQUES #70 INT 4, PARQUE IND. B. QUINTANA, 76246",,,,,,,,,,afiliado,,,,,,,
29,,2,13/2/2026,14/2/2025,,AF-6563,,15195,SEMILLAS TAKI DE MEXICO ,,,"$8,000.00",Transf,1,,IRUIZ,MEMBRESIA,VISIONARIO,"$8,000.00","CARR. ESTATAL #931 KM 2+200 LTE 91 MZA 8 EL COLORADO, 76246",FEB,STM2002216E5,itzel.osorio@taki.com.mx,,4426441979,ITZEL OSORIO,,,COMERCIO,COMERCIO AL POR MAYOR DE SEMILLAS Y GRANOS,,,"CARR. ESTATAL #931 KM 2+200 LTE 91 MZA 8 EL COLORADO, 76246",,,,,,,,,,afiliado,,,,,,,
30,,2,10/2/2026,11/2/2025,,AF-6562,,15199,THE GUND COMPANY MEXICO ,,,"$10,000.00",Transf,1,,IRUIZ,MEMBRESIA,PREMIER,"$10,000.00","CARR. ESTATAL 431 KM 2+200, PARQUE IND. TEC INNOVACION,76146",FEB,GME020514FK3,acontreras@thegundcompany.com,,4421013700,ANIBAL CONTRERAS,,,COMERCIO,COMERCIO AL POR MAYOR,,,"CARR. ESTATAL 431 KM 2+200, PARQUE IND. TEC INNOVACION,76146",,,,,,,,,,afiliado,,,,,,,
31,,2,11/2/2026,12/2/2025,,AF-6582,,15206,IMPULSE QUALITY SOLUTIONS,,,"$2,100.00",Transf,1,,IRUIZ,MEMBRESIA,BASICA,"$2,100.00","CONDE DE MIRAVALLE #110 INT 202, CARRETAS, QUERETARO, QRO. 76050",FEB,IQS190506671,monica.marquez@jobimpulse.mx,,4424036478,MONICA MARQUEZ,,,SERVICIOS,,,,"CONDE DE MIRAVALLE #110 INT 202, CARRETAS, QUERETARO, QRO. 76050",,,,,,,,,,afiliado,,,,,,,
32,,2,4/2/2026,5/2/2025,,,,15507,INSTITUTO ALEGRIA DE QUERETARO AC ,,,"$1,600.00",Transf,1,,IRUIZ,MEMBRESIA,MEMBRESIA SIEM,"$1,600.00","SEBASTIAN DE GALLEGOS #8, EL PUEBLITO, 76900",FEB,IAQ880913LR5,polivares@wellingtonschool.edu.mx,,4422255785,PATRICIA OLIVARES,,,SERVICIOS,SERVICIOS EDUCATIVOS,,,"SEBASTIAN DE GALLEGOS #8, EL PUEBLITO, 76900",,,,,,,,,,afiliado,,,,,,,
33,,1,28/1/2026,29/1/2025,,AF-6434,,15618,CORPORACION RAYMON DE MEXICO ,,,"$1,850.00",Transf,,1,JPEREZ,MEMBRESIA,BASICA,"$1,850.00","ACCESO V #107-B, DESAROLLO LA MONTAÑA 2000 SECCION III. 76150",FEB,CRM9307216Z4,aperea@raymund.com.mx,,4421482848,AMARA PEREA,,,COMERCIO,COMERCIO AL POR MAYOR DE MAQUINARIA Y EQUIPO PESADO,,,,,,,,,,,,,afiliado,,,,,,,
34,,1,28/1/2026,29/1/2025,,AF-6479,,15619,CORPORACION RAYMON DE MEXICO ,,,"$1,850.00",Transf,,1,JPEREZ,MEMBRESIA,BASICA,"$1,850.00","ACCESO V #107-B, DESAROLLO LA MONTAÑA 2000 SECCION III. 76150",FEB,CRM9307216Z4,aperea@raymund.com.mx,,4421482848,AMARA PEREA,,,COMERCIO,COMERCIO AL POR MAYOR DE MAQUINARIA Y EQUIPO PESADO,,,,,,,,,,,,,afiliado,,,,,,,
35,,1,29/1/2026,30/1/2025,,AF-6478,,15622,GRUPO CORREGIDORA BILIGUE,,,$640.00,Transf,1,,JPEREZ,SIEM, ,$640.00,"AV UNIVERSIDAD #370 INT. 219, COL. LA PIEDAD. 76150",FEB,GCB190325KX5,admon.grupocorregidora@gmail.com,,44223695409,LUISA,,,SERVICIOS,SERVICIOS EDUCATIVOS,,,,,,,,,,,,,afiliado,,,,,,,
36,,1,29/1/2026,30/1/2025,,AF-6479,,15623,GRUPO CORREGIDORA BILIGUE,,,$640.00,Transf,1,,JPEREZ,SIEM, ,$640.00,"AV UNIVERSIDAD #370 INT. 219, COL. LA PIEDAD. 76150",FEB,GCB190325KX5,admon.grupocorregidora@gmail.com,,44223695409,LUISA,,,SERVICIOS,SERVICIOS EDUCATIVOS,,,,,,,,,,,,,afiliado,,,,,,,
37,,1,29/1/2026,30/1/2025,,AF-6572,,15625,RAMECSA MAQUINARIA,,,$670.00,Efe,,1,JPEREZ,SIEM, ,$670.00,"PASEO DE LA GARZA #59 FRACC. SANTA, CORREGIDORA. 76912",FEB,RMA150423SM1,administracion@ramecsa.com,,4424141629,BLANCA RAMOS,,,COMERCIO,FERRETARIA IMAQ,,,,,,,,,,,,,afiliado,,,,,,,
38,,2,9/2/2026,10/2/2025,,AF-6572,,15626,ELEMEX ILUMINACION QUERETARO,,,"$1,850.00",Transf,1,,JPEREZ,MEMBRESIA,BASICA,"$1,850.00","BLVD. BERNARDO QUINTANA #84, COL. CARRETAS.76050",FEB,EIQ921023UY2,julieta@elmexiluminacion.com,,4422952151,JULIETA HERNANDEZ,,,COMERCIO,VENTA DE ILUMINACION,,,,,,,,,,,,,afiliado,,,,,,,
39,,1,10/1/2026,11/1/2025,,AF-6571,,15627,LIBRERIAS GONVILL,,,"$2,900.00",TD,1,,JPEREZ,MEMBRESIA,EMPRENDEDOR,"$2,900.00","CONSTITUTENTES OTE #40, FRACC. VILLAS DEL SOL. 76046",FEB,LGO840413SD2,qro3gonvill@gmail.com,,4421081319,MANUEL GUTIERREZ,,,COMERCIO,LIBRERIA,,,,,,,,,,,,,afiliado,,,,,,,
